info: Server is listening...
info: Server is listening... {"timestamp":"2024-05-29T14:52:52.062Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:53:51.933Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:53:59.468Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:54:31.156Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:55:13.967Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:55:21.306Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:55:28.939Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:55:35.496Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:55:52.538Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:55:57.594Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:56:09.163Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:57:03.437Z"}
info: Server is listening... {"timestamp":"2024-05-29T14:57:13.169Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:02:24.804Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:02:33.732Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:05:06.771Z"}
info: GET / 200 277ms - ::1 - PostmanRuntime/7.37.3 {"timestamp":"2024-05-29T15:05:12.473Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:06:07.266Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:06:13.173Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:06:17.218Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:06:21.652Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:06:30.052Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:06:51.998Z"}
info: GET /6344442 200 255ms - ::1 - PostmanRuntime/7.37.3 {"timestamp":"2024-05-29T15:07:59.642Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:09:44.819Z"}
info:  1716995394622GET / 200 143ms - ::1 - PostmanRuntime/7.37.3 {"timestamp":"2024-05-29T15:09:54.622Z"}
info: Server is listening... {"timestamp":"2024-05-29T15:10:47.882Z"}
info: Server is listening... {"timestamp":"2024-05-29 17:12:28"}
2024-05-29 17:19:45 info: Server is listening...
2024-05-29 17:21:22 info: Server is listening...
2024-05-29 17:23:24 info: Server is listening...
2024-05-29 17:23:30 info: GET / 200 241ms - ::1 - PostmanRuntime/7.37.3
2024-05-29 17:24:58 info: Server is listening...
2024-05-29 17:25:01 info: GET / / 200 141ms - ::1 - PostmanRuntime/7.37.3
2024-05-29 17:26:18 info: Server is listening...
2024-05-29 17:26:19 info: GET [object Object] / 200 109ms - ::1 - PostmanRuntime/7.37.3
2024-05-29 17:26:38 info: Server is listening...
2024-05-29 17:26:49 info: Server is listening...
2024-05-29 17:26:50 info: GET [object Object] / 200 99ms - ::1 - PostmanRuntime/7.37.3
2024-05-29 17:27:13 info: Server is listening...
2024-05-31 10:24:03 info: Server is listening...
2024-05-31 10:24:38 info: Server is listening...
2024-05-31 10:29:03 info: Server is listening...
2024-05-31 10:33:11 info: Server is listening...
2024-05-31 10:33:32 info: Server is listening...
2024-05-31 10:35:01 info: Server is listening...
2024-05-31 10:35:33 info: Server is listening...
2024-05-31 10:35:38 info: Server is listening...
2024-05-31 10:38:39 info: Server is listening...
2024-05-31 10:39:13 info: Server is listening...
2024-05-31 10:41:02 info: Server is listening...
2024-05-31 10:41:12 info: Server is listening...
2024-05-31 10:42:36 info: Server is listening...
2024-05-31 10:44:41 info: Server is listening...
2024-05-31 15:12:21 info: Server is listening...
2024-05-31 15:12:35 info: GET / 200 595ms - ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36
2024-05-31 15:12:46 info: GET /0f5e9224-a51a-46bc-84ac-aa385ff477e7 200 38ms - ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36
2024-05-31 15:12:53 info: GET /friends 200 45ms - ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36
2024-05-31 15:13:15 info: Server is listening...
2024-05-31 15:13:15 info: GET /friends 200 7ms - ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36
2024-05-31 15:13:32 info: Server is listening...
2024-05-31 15:23:22 info: Server is listening...
2024-05-31 15:23:33 info: Server is listening...
2024-05-31 15:23:45 info: Server is listening...
2024-05-31 15:24:05 info: Server is listening...
2024-05-31 15:24:48 info: Server is listening...
2024-05-31 15:25:49 info: Server is listening...
2024-05-31 15:26:46 info: Server is listening...
2024-05-31 15:27:46 info: Server is listening...
2024-05-31 15:28:03 info: Server is listening...
2024-05-31 15:29:12 info: Server is listening...
2024-05-31 15:29:35 info: Server is listening...
2024-05-31 15:29:59 info: Server is listening...
2024-05-31 15:30:30 info: Server is listening...
2024-05-31 15:31:13 info: Server is listening...
2024-05-31 15:31:26 info: Server is listening...
2024-05-31 15:33:22 info: Server is listening...
2024-05-31 15:33:29 info: Server is listening...
2024-05-31 15:33:44 info: Server is listening...
2024-05-31 15:34:59 info: Server is listening...
2024-05-31 15:36:40 info: Server is listening...
2024-05-31 15:37:43 info: Server is listening...
2024-05-31 15:37:58 info: Server is listening...
2024-05-31 15:38:54 info: Server is listening...
2024-05-31 15:39:02 info: Server is listening...
2024-05-31 15:39:23 info: Server is listening...
2024-05-31 15:39:47 info: Server is listening...
2024-05-31 15:46:35 info: Server is listening...
2024-05-31 15:46:43 info: Server is listening...
2024-05-31 15:47:13 info: Server is listening...
2024-05-31 15:47:24 info: Server is listening...
2024-05-31 15:47:43 info: Server is listening...
2024-05-31 15:47:56 info: Server is listening...
2024-05-31 15:48:01 info: Server is listening...
2024-05-31 15:48:21 info: Server is listening...
2024-05-31 15:48:42 info: Server is listening...
2024-05-31 15:48:55 info: Server is listening...
2024-05-31 15:49:19 info: Server is listening...
2024-05-31 15:50:08 info: Server is listening...
2024-05-31 15:50:31 info: Server is listening...
2024-05-31 15:50:56 info: Server is listening...
2024-05-31 15:51:16 info: Server is listening...
2024-05-31 15:51:37 info: Server is listening...
2024-05-31 15:52:05 info: Server is listening...
2024-05-31 15:52:49 info: Server is listening...
2024-05-31 15:53:24 info: Server is listening...
2024-05-31 15:55:23 info: Server is listening...
2024-05-31 15:55:34 info: Server is listening...
2024-05-31 15:56:13 info: Server is listening...
2024-05-31 15:56:22 info: Server is listening...
2024-05-31 15:58:00 info: Server is listening...
2024-05-31 15:58:11 info: Server is listening...
2024-05-31 15:58:17 info: Server is listening...
2024-05-31 15:58:31 info: Server is listening...
2024-05-31 15:58:54 info: Server is listening...
2024-05-31 15:58:58 info: Server is listening...
2024-05-31 15:59:19 info: Server is listening...
2024-05-31 15:59:30 info: Server is listening...
2024-05-31 15:59:36 info: Server is listening...
2024-05-31 15:59:48 info: Server is listening...
2024-05-31 16:00:00 info: Server is listening...
2024-05-31 16:00:17 info: Server is listening...
2024-05-31 16:00:26 info: Server is listening...
2024-05-31 16:00:49 info: Server is listening...
2024-05-31 16:01:25 info: Server is listening...
2024-05-31 16:01:45 info: Server is listening...
2024-05-31 16:03:16 info: Server is listening...
2024-05-31 16:04:15 info: Server is listening...
2024-05-31 16:04:28 info: Server is listening...
2024-05-31 16:04:37 info: Server is listening...
2024-05-31 16:04:47 info: Server is listening...
2024-05-31 16:04:56 info: Server is listening...
2024-05-31 16:05:00 info: Server is listening...
2024-05-31 16:07:16 info: Server is listening...
2024-05-31 16:07:33 info: Server is listening...
2024-05-31 16:09:18 info: Server is listening...
2024-05-31 16:09:35 info: Server is listening...
2024-05-31 16:09:57 info: Server is listening...
2024-05-31 16:10:12 info: Server is listening...
